Account,Delivery Location,Shop Location,Order Category,Item Ordered,Shop Name,Unit Price,Quantity,Distance (km),Sub Total,Delivery Fee,Service Fee,Total,Payment Method,Rating,Order Received,Preparing Order,Rider Accepted,Order Ready,Rider At Vendor,Rider Picked Up,Expected Delivery Time,Order Arrived,Order Delivered,time_sequence_valid,prep_time_min,delivery_time_min,delay_min,order_hour,order_dayofweek,order_month,order_year,revenue
AB009,Ogba,Anthony,Drinks & Beverages,Zobo drink,Smoothie Express,4500,1,10.1,4500,905,214,5619,Wallet,4.0,2023-01-13 08:51:00,2023-01-13 08:57:00,2023-01-13 09:00:00,2023-01-13 09:09:00,2023-01-13 09:14:00,2023-01-13 09:18:00,2023-01-13 10:04:00,2023-01-13 10:10:00,2023-01-13 10:04:00,False,12.0,73.0,0.0,8,Friday,2023-01,2023,4500
AB009,Surulere,Anthony,Food,Efo riro & pounded yam,Lekki Eats,10500,1,10.6,10500,930,502,11932,Wallet,4.0,2023-01-14 08:14:00,2023-01-14 08:15:00,2023-01-14 08:16:00,2023-01-14 08:24:00,2023-01-14 08:30:00,2023-01-14 08:34:00,2023-01-14 09:21:00,2023-01-14 10:02:00,2023-01-14 09:21:00,False,9.0,67.0,0.0,8,Saturday,2023-01,2023,10500
AB022,Surulere,Ikeja,Food,Fried rice & beef,Mama Cass Kitchen,5000,1,5.1,5000,654,722,6376,Wallet,4.0,2023-01-14 17:19:00,2023-01-14 17:24:00,2023-01-14 17:32:00,2023-01-14 17:37:00,2023-01-14 17:40:00,2023-01-14 17:42:00,2023-01-14 18:05:00,2023-01-14 18:02:00,2023-01-14 18:05:00,True,13.0,46.0,0.0,17,Saturday,2023-01,2023,5000
AB022,Maryland,Surulere,Drinks & Beverages,Fruit smoothie,Zesty Drinks,5000,1,5.0,5000,650,181,5831,Wallet,4.0,2023-01-14 21:02:00,2023-01-14 21:09:00,2023-01-14 21:17:00,2023-01-14 21:25:00,2023-01-14 21:30:00,2023-01-14 21:35:00,2023-01-14 21:59:00,2023-01-14 21:56:00,2023-01-14 21:59:00,True,16.0,57.0,0.0,21,Saturday,2023-01,2023,5000
AB022,Mushin,Oshodi,Pastries,Sausage roll,BakeHouse,1000,1,13.6,1000,1080,359,2439,Wallet,4.0,2023-01-18 12:56:00,2023-01-18 12:58:00,2023-01-18 13:02:00,2023-01-18 13:09:00,2023-01-18 13:11:00,2023-01-18 13:12:00,2023-01-18 14:09:00,2023-01-18 14:09:00,2023-01-18 14:09:00,True,11.0,73.0,0.0,12,Wednesday,2023-01,2023,1000
AB022,Ikeja,Ogba,Drinks & Beverages,Zobo drink,Cool Blends,4500,1,9.2,4500,859,189,5548,Wallet,4.0,2023-01-18 15:54:00,2023-01-18 15:59:00,2023-01-18 16:07:00,2023-01-18 16:16:00,2023-01-18 16:20:00,2023-01-18 16:21:00,2023-01-18 17:00:00,2023-01-18 17:00:00,2023-01-18 17:00:00,True,17.0,66.0,0.0,15,Wednesday,2023-01,2023,4500
AB022,Surulere,Maryland,Drinks & Beverages,Fruit smoothie,Smoothie Express,5000,1,9.2,5000,859,134,5993,Wallet,4.0,2023-01-18 18:55:00,2023-01-18 18:58:00,2023-01-18 19:00:00,2023-01-18 19:09:00,2023-01-18 19:14:00,2023-01-18 19:19:00,2023-01-18 19:58:00,2023-01-18 19:51:00,2023-01-18 19:58:00,True,11.0,63.0,0.0,18,Wednesday,2023-01,2023,5000
AB022,Anthony,Surulere,Pastries,Sausage roll,BakeHouse,1000,2,9.6,2000,880,259,3139,Wallet,4.0,2023-01-19 21:38:00,2023-01-19 21:44:00,2023-01-19 21:48:00,2023-01-19 21:52:00,2023-01-19 21:58:00,2023-01-19 22:02:00,2023-01-19 22:43:00,2023-01-19 22:52:00,2023-01-19 22:43:00,False,8.0,65.0,0.0,21,Thursday,2023-01,2023,2000
AB022,Adeniran Ogunsanya,Ojota,Drinks & Beverages,Fruit smoothie,Fresh Sips,5000,2,6.1,10000,705,134,10839,Wallet,4.0,2023-01-20 06:29:00,2023-01-20 06:32:00,2023-01-20 06:34:00,2023-01-20 06:36:00,2023-01-20 06:40:00,2023-01-20 06:42:00,2023-01-20 07:08:00,2023-01-20 07:13:00,2023-01-20 07:08:00,False,4.0,39.0,0.0,6,Friday,2023-01,2023,10000
AB022,Mushin,Ikeja,Food,Spaghetti stir fry & turkey,Mama Cass Kitchen,12000,1,2.8,12000,540,268,12808,Wallet,4.0,2023-01-23 05:15:00,2023-01-23 05:18:00,2023-01-23 05:21:00,2023-01-23 05:29:00,2023-01-23 05:34:00,2023-01-23 05:37:00,2023-01-23 05:47:00,2023-01-23 05:51:00,2023-01-23 05:47:00,False,11.0,32.0,0.0,5,Monday,2023-01,2023,12000
AB022,Adeniran Ogunsanya,Yaba,Food,Fried rice & beef,Tasty Bites,5000,1,2.8,5000,540,704,6244,Wallet,4.0,2023-01-24 18:58:00,2023-01-24 19:02:00,2023-01-24 19:06:00,2023-01-24 19:10:00,2023-01-24 19:16:00,2023-01-24 19:20:00,2023-01-24 19:37:00,2023-01-24 19:33:00,2023-01-24 19:37:00,True,8.0,39.0,0.0,18,Tuesday,2023-01,2023,5000
AB022,Anthony,Ogba,Food,Fried rice & beef,Kulture Kitchen,5000,1,7.1,5000,755,649,6404,Wallet,4.0,2023-01-26 07:46:00,2023-01-26 07:53:00,2023-01-26 07:54:00,2023-01-26 08:02:00,2023-01-26 08:03:00,2023-01-26 08:04:00,2023-01-26 08:31:00,2023-01-26 08:24:00,2023-01-26 08:31:00,True,9.0,45.0,0.0,7,Thursday,2023-01,2023,5000
AB036,Oshodi,Mushin,Pastries,Sausage roll,BakeHouse,1000,1,7.2,1000,760,315,2075,Wallet,4.0,2023-01-26 13:53:00,2023-01-26 14:00:00,2023-01-26 14:04:00,2023-01-26 14:11:00,2023-01-26 14:17:00,2023-01-26 14:21:00,2023-01-26 14:49:00,2023-01-26 14:50:00,2023-01-26 14:49:00,False,11.0,56.0,0.0,13,Thursday,2023-01,2023,1000
AB036,Ojota,Anthony,Food,Jollof rice & chicken,Naija Kitchen,6000,1,10.7,6000,935,183,7118,Wallet,4.0,2023-01-26 22:00:00,2023-01-26 22:04:00,2023-01-26 22:11:00,2023-01-26 22:18:00,2023-01-26 22:20:00,2023-01-26 22:21:00,2023-01-26 23:03:00,2023-01-26 23:05:00,2023-01-26 23:03:00,False,14.0,63.0,0.0,22,Thursday,2023-01,2023,6000
AB036,Surulere,Ojota,Food,Jollof rice & chicken,Lekki Eats,6000,1,12.5,6000,1025,377,7402,Bank Transfer,4.0,2023-01-27 01:43:00,2023-01-27 01:48:00,2023-01-27 01:56:00,2023-01-27 01:59:00,2023-01-27 02:00:00,2023-01-27 02:03:00,2023-01-27 02:51:00,2023-01-27 02:54:00,2023-01-27 02:51:00,False,11.0,68.0,0.0,1,Friday,2023-01,2023,6000
AB036,Oshodi,Yaba,Pastries,Doughnut pack,Golden Crust,20000,1,7.5,20000,775,322,21097,Bank Transfer,4.0,2023-01-27 07:37:00,2023-01-27 07:41:00,2023-01-27 07:47:00,2023-01-27 07:49:00,2023-01-27 07:50:00,2023-01-27 07:55:00,2023-01-27 08:24:00,2023-01-27 08:20:00,2023-01-27 08:24:00,True,8.0,47.0,0.0,7,Friday,2023-01,2023,20000
AB036,Surulere,Mushin,Drinks & Beverages,Zobo drink,Yoghurt Hub,4500,1,5.9,4500,695,84,5279,Bank Transfer,4.0,2023-01-27 11:52:00,2023-01-27 11:55:00,2023-01-27 12:01:00,2023-01-27 12:08:00,2023-01-27 12:13:00,2023-01-27 12:14:00,2023-01-27 12:38:00,2023-01-27 12:38:00,2023-01-27 12:38:00,True,13.0,46.0,0.0,11,Friday,2023-01,2023,4500
AB036,Adeniran Ogunsanya,Ikeja,Food,Jollof rice & chicken,Tasty Bites,6000,1,13.0,6000,1050,155,7205,Bank Transfer,4.0,2023-01-31 11:42:00,2023-01-31 11:45:00,2023-01-31 11:51:00,2023-01-31 11:57:00,2023-01-31 11:59:00,2023-01-31 12:01:00,2023-01-31 12:57:00,2023-01-31 12:57:00,2023-01-31 12:57:00,True,12.0,75.0,0.0,11,Tuesday,2023-01,2023,6000
AB036,Adeniran Ogunsanya,Maryland,Pastries,Sausage roll,Oven Fresh,1000,1,15.7,1000,1185,390,2575,Bank Transfer,4.0,2023-02-01 18:26:00,2023-02-01 18:28:00,2023-02-01 18:32:00,2023-02-01 18:39:00,2023-02-01 18:45:00,2023-02-01 18:46:00,2023-02-01 19:53:00,2023-02-01 19:58:00,2023-02-01 19:53:00,False,11.0,87.0,0.0,18,Wednesday,2023-02,2023,1000
AB036,Yaba,Ogba,Drinks & Beverages,Yoghurt drink,Zesty Drinks,4500,1,6.8,4500,740,282,5522,Bank Transfer,4.0,2023-02-02 01:28:00,2023-02-02 01:35:00,2023-02-02 01:40:00,2023-02-02 01:46:00,2023-02-02 01:48:00,2023-02-02 01:53:00,2023-02-02 02:23:00,2023-02-02 02:14:00,2023-02-02 02:23:00,True,11.0,55.0,0.0,1,Thursday,2023-02,2023,4500
AB036,Adeniran Ogunsanya,Adeniran Ogunsanya,Pastries,Sausage roll,BakeHouse,1000,1,3.8,1000,590,283,1873,Bank Transfer,4.0,2023-02-02 11:29:00,2023-02-02 11:35:00,2023-02-02 11:37:00,2023-02-02 11:42:00,2023-02-02 11:48:00,2023-02-02 11:53:00,2023-02-02 12:14:00,2023-02-02 12:15:00,2023-02-02 12:14:00,False,7.0,45.0,0.0,11,Thursday,2023-02,2023,1000
AB036,Ikeja,Mushin,Pastries,Doughnut pack,Golden Crust,20000,1,13.6,20000,1080,194,21274,Bank Transfer,4.0,2023-02-03 00:16:00,2023-02-03 00:23:00,2023-02-03 00:29:00,2023-02-03 00:31:00,2023-02-03 00:34:00,2023-02-03 00:38:00,2023-02-03 01:31:00,2023-02-03 01:30:00,2023-02-03 01:31:00,True,8.0,75.0,0.0,0,Friday,2023-02,2023,20000
AB048,Ojota,Ogba,Food,Fried rice & beef,Kulture Kitchen,5000,1,12.4,5000,1020,236,6256,Bank Transfer,4.0,2023-02-03 03:17:00,2023-02-03 03:24:00,2023-02-03 03:26:00,2023-02-03 03:36:00,2023-02-03 03:37:00,2023-02-03 03:38:00,2023-02-03 04:30:00,2023-02-03 04:31:00,2023-02-03 04:30:00,False,12.0,73.0,0.0,3,Friday,2023-02,2023,5000
AB048,Anthony,Ikeja,Drinks & Beverages,Yoghurt drink,Cool Blends,4500,1,7.2,4500,760,174,5434,Bank Transfer,4.0,2023-02-04 20:47:00,2023-02-04 20:50:00,2023-02-04 20:53:00,2023-02-04 21:00:00,2023-02-04 21:02:00,2023-02-04 21:03:00,2023-02-04 21:30:00,2023-02-04 21:30:00,2023-02-04 21:30:00,True,10.0,43.0,0.0,20,Saturday,2023-02,2023,4500
AB048,Maryland,Yaba,Food,Efo riro & pounded yam,Tasty Bites,10500,1,12.2,10500,1010,457,11967,Bank Transfer,4.0,2023-02-07 02:06:00,2023-02-07 02:08:00,2023-02-07 02:11:00,2023-02-07 02:21:00,2023-02-07 02:26:00,2023-02-07 02:31:00,2023-02-07 03:17:00,2023-02-07 03:17:00,2023-02-07 03:17:00,True,13.0,71.0,0.0,2,Tuesday,2023-02,2023,10500
AB048,Maryland,Ikeja,Pastries,Meat pie,BakeHouse,1500,1,14.1,1500,1105,413,3018,Bank Transfer,4.0,2023-02-08 12:33:00,2023-02-08 12:36:00,2023-02-08 12:38:00,2023-02-08 12:46:00,2023-02-08 12:51:00,2023-02-08 12:56:00,2023-02-08 13:52:00,2023-02-08 13:51:00,2023-02-08 13:52:00,True,10.0,79.0,0.0,12,Wednesday,2023-02,2023,1500
AB048,Oshodi,Maryland,Pastries,Meat pie,Golden Crust,1500,1,7.7,1500,785,418,2703,Bank Transfer,4.0,2023-02-08 20:38:00,2023-02-08 20:44:00,2023-02-08 20:45:00,2023-02-08 20:52:00,2023-02-08 20:55:00,2023-02-08 20:58:00,2023-02-08 21:26:00,2023-02-08 21:41:00,2023-02-08 21:26:00,False,8.0,48.0,0.0,20,Wednesday,2023-02,2023,1500
AB055,Maryland,Ogba,Pastries,Meat pie,Sunrise Bakery,1500,1,5.0,1500,650,254,2404,Bank Transfer,4.0,2023-02-09 12:01:00,2023-02-09 12:04:00,2023-02-09 12:12:00,2023-02-09 12:16:00,2023-02-09 12:22:00,2023-02-09 12:27:00,2023-02-09 12:48:00,2023-02-09 13:56:00,2023-02-09 13:58:00,True,12.0,117.0,70.0,12,Thursday,2023-02,2023,1500
AB055,Anthony,Yaba,Drinks & Beverages,Zobo drink,Zesty Drinks,4500,1,5.9,4500,695,373,5568,Bank Transfer,4.0,2023-02-09 13:52:00,2023-02-09 13:53:00,2023-02-09 13:56:00,2023-02-09 14:04:00,2023-02-09 14:07:00,2023-02-09 14:08:00,2023-02-09 14:37:00,2023-02-09 14:43:00,2023-02-09 14:46:00,True,11.0,54.0,9.0,13,Thursday,2023-02,2023,4500
AB055,Yaba,Ikeja,Drinks & Beverages,Zobo drink,Yoghurt Hub,4500,1,13.9,4500,1095,234,5829,Bank Transfer,4.0,2023-02-09 16:58:00,2023-02-09 16:59:00,2023-02-09 17:06:00,2023-02-09 17:08:00,2023-02-09 17:09:00,2023-02-09 17:13:00,2023-02-09 18:07:00,2023-02-09 18:14:00,2023-02-09 18:18:00,True,9.0,80.0,11.0,16,Thursday,2023-02,2023,4500
AB055,Ogba,Anthony,Pastries,Meat pie,Oven Fresh,1500,1,5.5,1500,675,196,2371,Bank Transfer,4.0,2023-02-09 23:35:00,2023-02-09 23:38:00,2023-02-09 23:39:00,2023-02-09 23:47:00,2023-02-09 23:50:00,2023-02-09 23:52:00,2023-02-10 00:20:00,2023-02-10 00:25:00,2023-02-10 00:27:00,True,9.0,52.0,7.0,23,Thursday,2023-02,2023,1500
AB055,Surulere,Surulere,Drinks & Beverages,Yoghurt drink,Zesty Drinks,4500,1,2.9,4500,545,288,5333,Bank Transfer,4.0,2023-02-11 21:57:00,2023-02-11 22:04:00,2023-02-11 22:11:00,2023-02-11 22:21:00,2023-02-11 22:24:00,2023-02-11 22:27:00,2023-02-11 22:39:00,2023-02-11 22:38:00,2023-02-11 22:42:00,True,17.0,45.0,3.0,21,Saturday,2023-02,2023,4500
AB061,Anthony,Ikeja,Drinks & Beverages,Zobo drink,Fresh Sips,4500,1,4.5,4500,625,286,5411,Bank Transfer,4.0,2023-02-14 13:06:00,2023-02-14 13:09:00,2023-02-14 13:17:00,2023-02-14 13:23:00,2023-02-14 13:24:00,2023-02-14 13:28:00,2023-02-14 13:46:00,2023-02-14 13:37:00,2023-02-14 13:43:00,True,14.0,37.0,-3.0,13,Tuesday,2023-02,2023,4500
AB061,Yaba,Yaba,Pastries,Chocolate croissant,BakeHouse,5000,1,6.0,5000,700,332,6032,Bank Transfer,4.0,2023-02-14 17:50:00,2023-02-14 17:53:00,2023-02-14 18:00:00,2023-02-14 18:05:00,2023-02-14 18:08:00,2023-02-14 18:10:00,2023-02-14 18:32:00,2023-02-14 18:37:00,2023-02-14 18:42:00,True,12.0,52.0,10.0,17,Tuesday,2023-02,2023,5000
AB061,Yaba,Ojota,Pastries,Chocolate croissant,Sweet Bites Bakery,5000,1,7.8,5000,790,375,6165,Bank Transfer,4.0,2023-02-15 11:12:00,2023-02-15 11:14:00,2023-02-15 11:21:00,2023-02-15 11:29:00,2023-02-15 11:35:00,2023-02-15 11:39:00,2023-02-15 12:13:00,2023-02-15 12:06:00,2023-02-15 12:11:00,True,15.0,59.0,-2.0,11,Wednesday,2023-02,2023,5000
AB061,Adeniran Ogunsanya,Ojota,Food,Spaghetti stir fry & turkey,Kulture Kitchen,12000,1,3.2,12000,560,256,12816,Bank Transfer,4.0,2023-02-15 23:27:00,2023-02-15 23:34:00,2023-02-15 23:38:00,2023-02-15 23:45:00,2023-02-15 23:46:00,2023-02-15 23:48:00,2023-02-16 00:03:00,2023-02-16 00:07:00,2023-02-16 00:09:00,True,11.0,42.0,6.0,23,Wednesday,2023-02,2023,12000
AB061,Ojota,Ikeja,Drinks & Beverages,Bottled juice,Zesty Drinks,2000,1,3.7,2000,585,174,2759,Bank Transfer,4.0,2023-02-17 20:23:00,2023-02-17 20:28:00,2023-02-17 20:33:00,2023-02-17 20:36:00,2023-02-17 20:37:00,2023-02-17 20:42:00,2023-02-17 20:53:00,2023-02-17 20:58:00,2023-02-17 21:00:00,True,8.0,37.0,7.0,20,Friday,2023-02,2023,2000
AB061,Adeniran Ogunsanya,Yaba,Pastries,Sausage roll,Oven Fresh,1000,1,14.9,1000,1145,218,2363,Bank Transfer,4.0,2023-02-21 22:04:00,2023-02-21 22:05:00,2023-02-21 22:11:00,2023-02-21 22:18:00,2023-02-21 22:24:00,2023-02-21 22:28:00,2023-02-21 23:32:00,2023-02-21 23:38:00,2023-02-21 23:44:00,True,13.0,100.0,12.0,22,Tuesday,2023-02,2023,1000
AB068,Mushin,Maryland,Pastries,Chocolate croissant,BakeHouse,5000,1,15.7,5000,1185,313,6498,Bank Transfer,4.0,2023-02-24 00:54:00,2023-02-24 00:57:00,2023-02-24 01:03:00,2023-02-24 01:07:00,2023-02-24 01:11:00,2023-02-24 01:16:00,2023-02-24 02:18:00,2023-02-24 02:27:00,2023-02-24 02:28:00,True,10.0,94.0,10.0,0,Friday,2023-02,2023,5000
AB068,Anthony,Mushin,Drinks & Beverages,Yoghurt drink,Yoghurt Hub,4500,1,2.4,4500,520,346,5366,Bank Transfer,4.0,2023-02-26 02:07:00,2023-02-26 02:09:00,2023-02-26 02:16:00,2023-02-26 02:18:00,2023-02-26 02:23:00,2023-02-26 02:27:00,2023-02-26 02:37:00,2023-02-26 02:43:00,2023-02-26 02:45:00,True,9.0,38.0,8.0,2,Sunday,2023-02,2023,4500
AB068,Maryland,Yaba,Food,Efo riro & pounded yam,Mama Cass Kitchen,10500,1,14.8,10500,1140,354,11994,Bank Transfer,4.0,2023-02-27 12:53:00,2023-02-27 12:56:00,2023-02-27 13:04:00,2023-02-27 13:08:00,2023-02-27 13:13:00,2023-02-27 13:14:00,2023-02-27 14:15:00,2023-02-27 14:15:00,2023-02-27 14:21:00,True,12.0,88.0,6.0,12,Monday,2023-02,2023,10500
AB068,Surulere,Oshodi,Drinks & Beverages,Zobo drink,Smoothie Express,4500,1,7.9,4500,795,369,5664,Bank Transfer,4.0,2023-02-28 16:49:00,2023-02-28 16:52:00,2023-02-28 17:00:00,2023-02-28 17:08:00,2023-02-28 17:14:00,2023-02-28 17:18:00,2023-02-28 17:49:00,2023-02-28 17:48:00,2023-02-28 17:51:00,True,16.0,62.0,2.0,16,Tuesday,2023-02,2023,4500
AB068,Yaba,Surulere,Drinks & Beverages,Zobo drink,Yoghurt Hub,4500,1,10.8,4500,940,187,5627,Bank Transfer,4.0,2023-02-28 19:53:00,2023-02-28 19:57:00,2023-02-28 19:59:00,2023-02-28 20:08:00,2023-02-28 20:13:00,2023-02-28 20:17:00,2023-02-28 21:01:00,2023-02-28 21:02:00,2023-02-28 21:01:00,False,11.0,68.0,0.0,19,Tuesday,2023-02,2023,4500
AB068,Yaba,Adeniran Ogunsanya,Pastries,Sausage roll,Sweet Bites Bakery,1000,1,13.9,1000,1095,426,2521,Bank Transfer,4.0,2023-03-01 06:28:00,2023-03-01 06:30:00,2023-03-01 06:37:00,2023-03-01 06:42:00,2023-03-01 06:47:00,2023-03-01 06:49:00,2023-03-01 07:42:00,2023-03-01 07:52:00,2023-03-01 07:42:00,False,12.0,74.0,0.0,6,Wednesday,2023-03,2023,1000
AB077,Anthony,Yaba,Food,Efo riro & pounded yam,Kulture Kitchen,10500,1,6.3,10500,715,374,11589,Bank Transfer,4.0,2023-03-04 07:34:00,2023-03-04 07:37:00,2023-03-04 07:42:00,2023-03-04 07:52:00,2023-03-04 07:55:00,2023-03-04 07:58:00,2023-03-04 08:22:00,2023-03-04 08:26:00,2023-03-04 08:22:00,False,15.0,48.0,0.0,7,Saturday,2023-03,2023,10500
AB077,Mushin,Adeniran Ogunsanya,Food,Fried rice & beef,Lekki Eats,5000,1,8.5,5000,825,406,6231,Bank Transfer,4.0,2023-03-04 23:25:00,2023-03-04 23:30:00,2023-03-04 23:32:00,2023-03-04 23:35:00,2023-03-04 23:39:00,2023-03-04 23:44:00,2023-03-05 00:18:00,2023-03-05 00:11:00,2023-03-05 00:18:00,True,5.0,53.0,0.0,23,Saturday,2023-03,2023,5000
AB077,Yaba,Oshodi,Drinks & Beverages,Yoghurt drink,Yoghurt Hub,4500,1,12.1,4500,1005,178,5683,Bank Transfer,4.0,2023-03-07 03:03:00,2023-03-07 03:07:00,2023-03-07 03:12:00,2023-03-07 03:22:00,2023-03-07 03:23:00,2023-03-07 03:27:00,2023-03-07 04:20:00,2023-03-07 04:29:00,2023-03-07 04:20:00,False,15.0,77.0,0.0,3,Tuesday,2023-03,2023,4500
AB077,Ojota,Oshodi,Pastries,Chocolate croissant,Sweet Bites Bakery,5000,1,10.7,5000,935,188,6123,Bank Transfer,4.0,2023-03-07 08:28:00,2023-03-07 08:30:00,2023-03-07 08:31:00,2023-03-07 08:35:00,2023-03-07 08:36:00,2023-03-07 08:41:00,2023-03-07 09:22:00,2023-03-07 09:25:00,2023-03-07 09:22:00,False,5.0,54.0,0.0,8,Tuesday,2023-03,2023,5000
AB077,Maryland,Surulere,Pastries,Chocolate croissant,BakeHouse,5000,1,7.3,5000,765,224,5989,Bank Transfer,4.0,2023-03-07 11:15:00,2023-03-07 11:22:00,2023-03-07 11:29:00,2023-03-07 11:32:00,2023-03-07 11:38:00,2023-03-07 11:39:00,2023-03-07 12:05:00,2023-03-07 12:09:00,2023-03-07 12:05:00,False,10.0,50.0,0.0,11,Tuesday,2023-03,2023,5000
AB077,Oshodi,Mushin,Pastries,Meat pie,Golden Crust,1500,1,11.0,1500,950,288,2738,Bank Transfer,4.0,2023-03-07 21:57:00,2023-03-07 21:58:00,2023-03-07 22:05:00,2023-03-07 22:15:00,2023-03-07 22:20:00,2023-03-07 22:25:00,2023-03-07 23:14:00,2023-03-07 23:15:00,2023-03-07 23:14:00,False,17.0,77.0,0.0,21,Tuesday,2023-03,2023,1500
AB077,Ikeja,Yaba,Pastries,Chocolate croissant,BakeHouse,5000,1,5.8,5000,690,257,5947,Bank Transfer,4.0,2023-03-10 10:04:00,2023-03-10 10:10:00,2023-03-10 10:16:00,2023-03-10 10:22:00,2023-03-10 10:25:00,2023-03-10 10:26:00,2023-03-10 10:50:00,2023-03-10 10:56:00,2023-03-10 10:50:00,False,12.0,46.0,0.0,10,Friday,2023-03,2023,5000
